Category,Month,Registrations,Year
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,JAN,0,2025
AKASH TRAILOR,JAN,9,2025
A.K.AUTO ELECTRICAL,JAN,1,2025
A K AUTTO ELECTRICAL,JAN,2,2025
AKG INTERNATIONAL,JAN,169,2025
A K GUPTA & CO.,JAN,87,2025
AKMAAN MULTI MECH MACHINES,JAN,0,2025
A K S ENG AGRO INDUSTRIES,JAN,4,2025
ALBEDO VISION PVT LTD,JAN,0,2025
ALIED E MOBILITY PVT LTD,JAN,15,2025
"AL-KHADEER ENGINEERING WORKS, KURNOOL AP117791028",JAN,0,2025
ALLENTTI MOTORS PVT LTD,JAN,17,2025
ALLFINE INDUSTRIES PVT LTD,JAN,202,2025
ALL TERRAIN CRANE,JAN,221,2025
ALPHA SERVICES,JAN,1,2025
ALTIER ELECTRIC VEHICLES PVT LTD,JAN,218,2025
ALTIGREEN PROPULSION LABS PVT LTD,JAN,10,2025
ALTIUS EV TECH PVT LTD,JAN,2,2025
ALTIUS TECHNOLOGIES,JAN,2,2025
ALVI AUTO,JAN,13,2025
AMAN AGRO INDUSTRIES,JAN,0,2025
AMAN AUTOMOBILES,JAN,0,2025
AMAN ELECTRIC VEHICLES,JAN,53,2025
AMAN ENTERPRISES BHPATNA,JAN,12,2025
AMAR ENGG. WORKS,JAN,0,2025
AMARJEET HARVESTER INDUSTRY,JAN,1,2025
AMBICA TROLLEY WORKS,JAN,1,2025
AMBIKA ENTERPRISES,JAN,16,2025
AMBIKA INDUSTRIES,JAN,119,2025
AMIR KHAN SAIFI STEEL WORKS,JAN,10,2025
AMMANN APOLLO INDIA PVT LTD,JAN,28,2025
AMO MOBILITY SOLUTIONS PVT LTD,JAN,1,2025
AMPERE VEHICLES PRIVATE LIMITED,JAN,25,2025
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,JAN,2,2025
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,JAN,1,2025
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),JAN,0,2025
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),JAN,1,2025
A N ENTERPRISES,JAN,0,2025
ANGAD AGRO INDUSTRIES,JAN,0,2025
ANICK TRADERS,JAN,0,2025
ANJALI AUTO COMPONENTS,JAN,4,2025
ANJALI TRADERS,JAN,5,2025
ANNAPURNA INDUSTRIES,JAN,9,2025
ANNAPURNA TRAILER IMPLEMENTS AP312671033,JAN,0,2025
ANOOP CYLINDERS PVT LTD,JAN,1,2025
ANVITA AUTO TECH WORKS PVT LTD,JAN,2,2025
ANWAR ENGINEERING RAYAGADA,JAN,0,2025
APARNA INDUSTRIES,JAN,0,2025
A P I MOTORS PVT LTD,JAN,104,2025
APM AUTO SALES,JAN,58,2025
APOLLO CARMIX EQUIPMENTS PVT LTD,JAN,11,2025
APSAGROINDUSTRIESDEVOLPMENTCORPORATIONLTAP67413584,JAN,0,2025
APSARA ENTERPRISE,JAN,176,2025
APTEC EQUIPMENT PRIVATE LIMITED,JAN,1,2025
A R AGRO TECH,JAN,0,2025
ARBUDA AGRO INDUSTRIES,JAN,0,2025
ARCHIT ENTERPRISES,JAN,141,2025
ARD EXIM,JAN,2,2025
ARIHANT ENTERPRISES,JAN,0,2025
ARMIX CONSTRUCTION MACHINERY PVT LTD,JAN,0,2025
A.R. MOTOR,JAN,77,2025
ARROW AUTOMOTIVE,JAN,215,2025
ARX MINING & CONSTRUCTION EQUIPMENT PVT LTD,JAN,0,2025
ARYAN INDUSTRIES,JAN,0,2025
ASAV AUTOMOTIVE PVT LTD,JAN,2,2025
ASHA IMPEX,JAN,25,2025
ASHLESHA POWER CONTROLS PVT LTD,JAN,1,2025
ASHMA-MOTORS PVT LTD,JAN,111,2025
ASHNNI MOTORS PVT LTD,JAN,0,2025
ASHOKA INDUSTRIES BOLANGIR DUMERPALI,JAN,1,2025
ASHOK LEYLAND DEFENCE SYSTEMS LTD,JAN,0,2025
ASHOK LEYLAND LTD,JAN,15976,2025
ASHTVINAYAK INDUSTRIES,JAN,0,2025
ASSAM FABRICATION WORKS,JAN,4,2025
ASTON MARTIN LAGONDA LTD,JAN,1,2025
ATHER ENERGY LTD,JAN,13097,2025
ATTOLENT AUTO GROUP PVT LTD,JAN,41,2025
ATUL AUTO LTD,JAN,2748,2025
ATUL GREENTECH PRIVATE LIMITED,JAN,152,2025
ATUMOBILE PVT LTD,JAN,6,2025
ATUT SANGAM,JAN,185,2025
AUDI AG,JAN,44,2025
AUM ENGINEERING AND WORKS,JAN,4,2025
AUTOECO GREEN ENERGY PVT LTD,JAN,60,2025
AUTOEXIM HOUSE LLP,JAN,10,2025
AUTOHAUS PRIVATE LIMITED,JAN,1,2025
AUTOMOBILI LAMBORGHINI S.P.A,JAN,20,2025
AUTONXT AUTOMATION PVT LTD,JAN,0,2025
AUTO SUPREME INDUSTRIES,JAN,0,2025
A.V.AUTOMOTIVES PVT LTD,JAN,37,2025
AVL ELECTRIC VEHICLES PVT LTD,JAN,230,2025
AVON CYCLES LTD,JAN,32,2025
AVTAR ENGINEERING WORKS,JAN,1,2025
AWACHAT INDUSTRIES LTD,JAN,195,2025
AYAAN ELECTRONIC PVT LTD,JAN,2,2025
AZAD INDIA MOBILITY LTD,JAN,0,2025
B24 ROKET EV,JAN,200,2025
BABA E-VEHICLES,JAN,29,2025
BABA HARIDAS FABRICATION PAPADAHANDI NGPR,JAN,0,2025
BABAJI ENGINEERING TRAILOR WORKS,JAN,0,2025
BABA PRODUCT,JAN,2,2025
BADSHAH ENTERPRISES,JAN,12,2025
BAGHWAN RIKSHAW UDYOG,JAN,6,2025
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),JAN,0,2025
BAJAJ AUTO LTD,JAN,213911,2025
BAJAJ IMPLEMENTS PVT. LTD,JAN,48,2025
BAJRANG AGRO INDUSTRIES,JAN,1,2025
BAJRANG MECHANICAL WORKS,JAN,0,2025
BALAJI AGRO INDUSTRIES,JAN,1,2025
BALAJI ENGINEERING,JAN,0,2025
BALAJI FARM & STEEL WORKS,JAN,0,2025
BALAJI TRADING COMPANY,JAN,7,2025
BALAN ENGINEERING PVT LTD,JAN,10,2025
BAL GOPAL WHEELS PVT LTD,JAN,4,2025
BALI AUTO INDUSTRIES,JAN,22,2025
BALURGHAT AUTOMOBILES AND ENGINEERING,JAN,0,2025
BAMUR INDUSTRIES & ENGINEERING PVT LTD,JAN,0,2025
BANKU BODY BUILDER,JAN,0,2025
BANKU BODY BUILDERS CHANDIKHOLE KUAKHIA,JAN,2,2025
BANSAL AGRICULTURE IMPLEMENTS,JAN,0,2025
BARKAT ENGINEERING WORKS,JAN,0,2025
"BASUDEB ENGINEERING, CUTTACK",JAN,1,2025
BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,JAN,6,2025
BATTRE ELECTRIC MOBLITY PVT LTD,JAN,131,2025
BAUTI ENGINEERING NAYAGARH ITAMATI,JAN,0,2025
BAXY LTD,JAN,521,2025
BEAUTY ENGINEERING WORKS,JAN,0,2025
BEENA DEVI & SONS INDUSTRIES PVT LTD,JAN,3,2025
BEML LIMITED,JAN,2,2025
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,JAN,11,2025
BENTINCK INDUSTRIES PVT. LTD.,JAN,14,2025
BENTLEY MOTORS LIMITED,JAN,5,2025
BEST WAY AGENCIES PVT LTD,JAN,445,2025
BGAUSS AUTO PRIVATE LIMITED,JAN,1451,2025
BHADAURIA ENTERPRISES,JAN,1,2025
BHAGWAN AGRO INDUSTRIES,JAN,3,2025
BHAGYALAXMI TRAILER,JAN,0,2025
BHARATHI TRAILERS,JAN,0,2025
BHARATH MOTOCORP,JAN,2,2025
BHARAT MECHANICAL WORKS,JAN,0,2025
BHAVE ELECTRIC VEHICLES PVT LTD,JAN,149,2025
BHM INDUSTRIES,JAN,269,2025
BHOGAL COMBINE SPARE PARTS,JAN,3,2025
BHOLE SHANKAR MOTOR BODY,JAN,0,2025
BHOOMI ENGINEERING,JAN,0,2025
BHOYAR AGRO IND WARDHA,JAN,15,2025
BIDISHA ENTERPRISES PVT LTD MAYURBHANJ RAIRANGPUR,JAN,2,2025
BIG BULL TRADER PVT LTD,JAN,377,2025
BIJNOR ENTERPRISES,JAN,2,2025
BISWAKARMA ENGINEERING,JAN,1,2025
BISWAS ENGINEERING WORKS,JAN,0,2025
BLACK DIAMOND MOTORS PVT LTD,JAN,0,2025
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,JAN,18,2025
BMR EV INDUSTRIES PVT LTD,JAN,0,2025
BMW INDIA PVT LTD,JAN,2600,2025
BOMAG INDIA PVT LTD,JAN,0,2025
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,JAN,72,2025
BOSS ENTERPRISES,JAN,14,2025
BOUNCE ELECTRIC 1 PVT LTD,JAN,560,2025
BRIGHT AUTOZONE PVT LTD,JAN,251,2025
BRIGHT SAFAR,JAN,1,2025
BRIJESH AUTO GARAGE,JAN,0,2025
BSERAIL ENGINEERING PVT LTD,JAN,10,2025
BSMS AGRICULTURE WORKSHOP,JAN,0,2025
BU4 AUTO PVT LTD,JAN,0,2025
BUCHER MUNICIPAL (IMPORTER: BAXY LIMITED),JAN,0,2025
BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),JAN,0,2025
BULL MACHINES PVT LTD,JAN,206,2025
BYD INDIA PRIVATE LIMITED,JAN,338,2025
CAPCO INDUSTRIES PVT LTD,JAN,0,2025
CAPTAIN TRACTORS PVT. LTD.,JAN,489,2025
CARREE YUNUS VEHICLE PVT LTD,JAN,8,2025
CART INDIA,JAN,14,2025
CASE EQUIPMENT PRIVATE LTD,JAN,0,2025
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,JAN,228,2025
CATERPILLAR INDIA PRIVATE LIMITED,JAN,264,2025
CEEON INDIA,JAN,40,2025
CELLETRON MOTOR WORKS,JAN,10,2025
CG & BROTHER CO,JAN,3,2025
CHAANY AGRO INDUSTRIES,JAN,0,2025
CHAMPION POLY PLAST,JAN,796,2025
CHAMUNDA MECHANICLE WORKS,JAN,0,2025
CHANDAKE-AUTOMOBILES LLP,JAN,22,2025
CHANDANA CORPORATION,JAN,8,2025
CHANNY AGRO INDUSTRIES,JAN,0,2025
CHAUHAN AUTO INDUSTRIES,JAN,58,2025
CHEHAK BATTERIES,JAN,24,2025
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),JAN,29,2025
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),JAN,4,2025
CHITRA MANUFACTURERS LLP,JAN,1,2025
CITADEL ENTERPRISES(OPC) PVT LTD,JAN,0,2025
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,JAN,22,2025
CIVIMEC ENGINEERING PVT LTD,JAN,0,2025
CLAAS INDIA P LTD,JAN,0,2025
CLASSIC LEGENDS PVT LTD,JAN,2838,2025
CLENERGY INNOVATIONS PVT LTD,JAN,0,2025
C M OVERSEAS,JAN,2,2025
CNH INDUSTRIAL (INDIA) PVT LTD,JAN,4019,2025
COMETTO TRAILER,JAN,14,2025
CONMAT HEAVY INDUSTRIES PVT LTD,JAN,27,2025
CONTINENTAL ENGINES PVT LTD,JAN,10,2025
CONVENIENT MACHINES PVT LTD,JAN,1,2025
COVAI GREEN RIDE,JAN,1,2025
CRANE KRAFT INDIA PRIVATE LIMITED,JAN,20,2025
CREATIVE ENGINEERINGS,JAN,1,2025
CUBE AUTO INDUSTRIES,JAN,0,2025
CYRUS AUTO INDUSTRIES PVT LTD,JAN,0,2025
DABASIYA LOADERS,JAN,2,2025
DAIMLER AG,JAN,1,2025
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,JAN,2196,2025
DAKSH INDUSTRIES,JAN,565,2025
DAO EVTECH PRIVATE LIMITED,JAN,1,2025
DASHMESH TRADERS,JAN,16,2025
DASMESH AGRICULTURE WORKS,JAN,1,2025
DASMESH AGRO INDUSTRIES,JAN,0,2025
DASMESH MECHANICAL WORKS PVT.LTD,JAN,55,2025
DAVE EXIM PVT LTD,JAN,29,2025
DEBU AUTOMOBILES,JAN,2,2025
DEEP DRAWN TECHNOLOGIES,JAN,4,2025
DEEP FABRICATORS,JAN,0,2025
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,JAN,3,2025
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",JAN,1,2025
DE EUSI MOTORS PVT LTD.,JAN,282,2025
DELTA AUTOCORP LTD,JAN,110,2025
DELTEK ENTERPRISES PVT LTD,JAN,2,2025
DEV AGRO INDUSTRIES,JAN,2,2025
DEVAM ELECTRIC VEHICLES PVT LTD,JAN,15,2025
DEVANGI ENG..,JAN,16,2025
DEVCHHAYA MOTORS,JAN,1,2025
DEV ENGINEERING WORKS,JAN,10,2025
DEVI ENGG WORKS AP235530181,JAN,0,2025
DEVI ENGINEERING WORKS,JAN,1,2025
DEV MOTORS,JAN,184,2025
DEWAN AGRICULTURE WORKS,JAN,3,2025
DHANALAKSHMI ENGINEERING WORKS,JAN,0,2025
DHANALAXMI ENGINEERING PURI CHARINALA,JAN,1,2025
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,JAN,0,2025
DHANLAXMI FABRICATORS,JAN,0,2025
DHAR IN PVT LTD,JAN,23,2025
DHAR INTERNATIONAL,JAN,0,2025
DHARMPAL ENTERPRISES,JAN,1,2025
DHARTI AGRICULTURE WORKS,JAN,0,2025
DHIMAN AGRICULTURE,JAN,1,2025
DHIMAN AGRICULTURE WORKS,JAN,1,2025
DHIMAN BROTHERS,JAN,0,2025
DHRITI ENTERPRISES,JAN,8,2025
"DIAMOND ENGG,CTC",JAN,2,2025
DIAMOND ENGINEERING CUTTACK BHANPUR,JAN,1,2025
DIAMOND E VEHICLES,JAN,36,2025
DILLI ELECTRIC AUTO PVT LTD,JAN,1925,2025
DIVANSU AUTOMOBILES LTD,JAN,14,2025
DIVYA ENTERPRISES,JAN,67,2025
DIVYA VARALAKSHMI INDUSTRY,JAN,0,2025
D K DIESELS PVT LTD,JAN,0,2025
D.K. MOTORS,JAN,1,2025
DOOSAN BOBCAT INDIA PVT LTD,JAN,52,2025
DOOSAN INT INDIA PVT LTD,JAN,0,2025
DOZCO (INDIA) PVT LTD,JAN,0,2025
D S INDUSTRIES,JAN,0,2025
D.S NAMDHARI ENGINEERS,JAN,0,2025
DSR EV MOBILITY PVT LTD,JAN,4,2025
DUCATI INDIA PVT LTD,JAN,46,2025
DUKE AUTO INDIA,JAN,76,2025
DULEVO INDIA PVT LTD,JAN,0,2025
DURGA AGRO WORKS,JAN,0,2025
DURGA AND DURGA ENG WORKS GANJAM HALADIAPADAR,JAN,1,2025
"DURGA&DURGA ENGG WORKS,BHMPUR",JAN,0,2025
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",JAN,0,2025
DURGA ENGINEERING BHADRAK CHARAMPA,JAN,0,2025
DURGA ENGINEERING WORKS,JAN,0,2025
DURGA FILTERS PVT LTD,JAN,0,2025
DURGA MECHANIC WORKS,JAN,0,2025
DWARI ENGINEERS SAMBALPUR JAIL CHOWK,JAN,0,2025
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,JAN,26,2025
DYS IMPEX PRIVATE LIMITED,JAN,77,2025
EARTH MOBILITY,JAN,1,2025
E-ASHWA AUTOMOTIVE PVT LTD,JAN,1,2025
EBUZZ MOBILITY LLP,JAN,1,2025
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),JAN,4,2025
ECO DYNAAMIC EQUIPMENTS,JAN,4,2025
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,JAN,36,2025
ECO FUEL SYSTEMS (I) PVT LTD,JAN,19,2025
ECOPLANET MOTORS PVT LTD,JAN,0,2025
ECO SMART VEHICLES PVT LTD,JAN,95,2025
EDMRC MANNSCHAFT LLP,JAN,1,2025
EFEV CHARGING SOLUTION PVT LTD,JAN,99,2025
E-GURU AUTO ENERGY,JAN,11,2025
EICHER MOTORS LTD,JAN,0,2025
EICHER TRACTORS,JAN,5961,2025
EIMCO ELECON,JAN,1,2025
ELECTRA INTERNATIONAL,JAN,0,2025
ELECTRECA VEHICLES,JAN,1,2025
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),JAN,7,2025
ELECTRO ARO AUTOMOTIVE PVT LTD,JAN,0,2025
ELECTRODRIVE VEHICLES PVT LTD,JAN,23,2025
ELECTROTHERM (INDIA) LIMITED,JAN,0,2025
ELEGO MOTORS PVT LTD,JAN,4,2025
ELEPHANTA INDUSTRIES PVT LTD,JAN,2,2025
ELITE AUTO ENGINEERS PVT LTD,JAN,91,2025
ELSA CONCRETING MACHINERY INDIA PVT LTD,JAN,0,2025
ELTHOR ENERGY PRIVATE LIMITED,JAN,9,2025
EMOBI MANUFACTURY PRIVATE LIMITED,JAN,0,2025
E-MOTION AUTOMOTIVE INDUSTRY LLP,JAN,45,2025
ENABLING E-VEHICLE PVT LTD,JAN,49,2025
ENERGY ELECTRIC VEHICLES,JAN,1006,2025
ENGINIA VEHICLES PVT LTD,JAN,153,2025
ENGTIAN ELECTRIC BIKE PVT LTD,JAN,41,2025
ENTICE IMPEX PVT LTD,JAN,77,2025
ENVISION ELECTRIC VEHICLES PVT LTD,JAN,0,2025
EPOWER VEHICLES PVT LTD,JAN,0,2025
ERISHA E MOBILITY PVT LTD,JAN,4,2025
E ROYCE MOTORS INDIA PVT LTD,JAN,127,2025
ESCORTS CONSTRUCTION EQUIPMENT LTD,JAN,3,2025
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),JAN,9136,2025
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),JAN,664,2025
ESCORTS LTD,JAN,0,2025
ESCORTS R&D CENTRE,JAN,0,2025
ESCORTS TRACTORS LTD,JAN,4,2025
E-SPRINTO GREEN ENERGY PVT LTD,JAN,125,2025
ESSAR ENGINEERING,JAN,0,2025
ESSAR ENGINEERING MAYURBHANJ BARIPADA,JAN,2,2025
ESSEL ENERGY INFRA PVT LTD,JAN,2,2025
EULER MOTORS PVT LTD,JAN,332,2025
EVAGE AUTOMOTIVE PVT LTD,JAN,25,2025
EVBHARAT RANGE PRIVATE LIMITED,JAN,13,2025
EVCO AUTOMOBILES PVT LTD,JAN,119,2025
EVEX AUTO INDIA PVT LTD,JAN,1,2025
EVGREEN PVT LTD,JAN,2,2025
EVOLUTION AUTOTECH,JAN,1,2025
EVTRIC MOTORS PVT LTD,JAN,6,2025
EXDINDUS EV ENERGY PVT LTD,JAN,0,2025
EXERVAL PVT LTD,JAN,0,2025
EXIDE INDUSTRIES LTD,JAN,159,2025
EXTRA FAST SOLUTIONS,JAN,54,2025
EXTREME MOTORS,JAN,5,2025
EYAMAUTO MOBILITY PVT LTD,JAN,0,2025
EYUG AUTOMOBILE PVT LTD,JAN,6,2025
FARMTECH AGRO INDUSTRIES,JAN,0,2025
FCA INDIA AUTOMOBILES PRIVATE LIMITED,JAN,445,2025
FEDE INDUSTRIES PVT LTD,JAN,244,2025
FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD),JAN,2,2025
FERRARI SPA (IMPORTER:SELECT CARS P LTD),JAN,2,2025
FIELDTRACK EARTHMOVERS PVT LTD,JAN,22,2025
FINE EQUIPMENTS INDIA PVT LTD,JAN,0,2025
FIORI CONCRETE MACHINES INDIA PVT LTD,JAN,7,2025
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,JAN,45,2025
FITWEL MOBILITY PVT LTD,JAN,2,2025
FIVE ELEMENTS,JAN,2,2025
FIVE LASERCUT METAL TECHNOLOGY PVT LTD,JAN,0,2025
FORCE MOTORS LIMITED,JAN,2523,2025
FORD INDIA PVT LTD,JAN,3,2025
FORTUNE GLOBAL INDUSTRIES & SERVICES,JAN,1,2025
FRIENDS ENGINEERING WORKS,JAN,0,2025
FRN MOTORS PVT LTD,JAN,2,2025
FUJIYAMA POWER INFRA PVT. LTD.,JAN,1,2025
FUTURE EV TECHNOLOGY,JAN,0,2025
GAGAN AUTOMOTIVES,JAN,76,2025
GAHIR AGRICULTURAL INDUSTRIES,JAN,4,2025
GAHIR AGRO INDUSTRIES LIMITED,JAN,4,2025
GAMZEN PLAST PVT LTD,JAN,0,2025
GANESH AGRICULTURE WORKS,JAN,0,2025
GANESH AGRO INDUSTRIES,JAN,3,2025
GANESH ENGINEERING WORKS AP118063632,JAN,0,2025
GANGA IRON & STEELS,JAN,0,2025
GANPATI ENGINEERING WORKS,JAN,0,2025
GARGARIJI AUTOMOBILE PVT LTD,JAN,0,2025
GAURA ELECTRIC VEHICLES PVT LTD,JAN,92,2025
GAUTAM AGRO INDUSTRIES,JAN,0,2025
GAYATRI AGRO INDUSTRIES,JAN,1,2025
GAYATRI ELECTRIC VEHICLES PVT LTD,JAN,177,2025
GAYATRI WELDING WORKS,JAN,0,2025
GENERAL MOTORS INDIA PVT LTD,JAN,0,2025
G & G AUTOMOTIVE,JAN,68,2025
GIAN AGRO INDUSTRIES,JAN,1,2025
GIJ AGRITOOLS PVT LTD,JAN,0,2025
GILL AGRICULTURE WORKS,JAN,2,2025
GILL MECHANICAL WORKS,JAN,0,2025
GILLPREETAGRO INDUSTRIES,JAN,2,2025
G.K E-VEHICLS INDUSTRIES PVT LTD,JAN,122,2025
GKON ELECTRIC MOTOR VEHICLES PVT LTD,JAN,20,2025
G.K. RICKSHAW PVT LTD,JAN,248,2025
GLAZE EV LLP,JAN,29,2025
G. M. VEHICLE INDUSTRIES,JAN,2,2025
GOBIND AGRO INDUSTRIES,JAN,11,2025
GOBIND INDUSTRIES PVT LTD,JAN,2,2025
GODAWARI ELECTRIC MOTORS PVT LTD,JAN,45,2025
GODAWARI TECHNO SOLUTIONS PVT LTD,JAN,6,2025
GODREJ AND BOYCE MFG CO LTD,JAN,2,2025
GODREJ & BOYCE MFG. CO. LTD,JAN,41,2025
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,JAN,0,2025
GOLDEN ELECTRIC VEHICLES,JAN,7,2025
GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),JAN,0,2025
GOPAL AGRO AGENCY GANJAM HALADIAPADAR,JAN,1,2025
"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",JAN,0,2025
GOPAL AUTO MOTORS PVT LTD,JAN,105,2025
GOPE AUTO INDUSTRIES,JAN,0,2025
GOPINATH AGRO TRADE  RAYAGDA PADMAPUR,JAN,0,2025
GOREEN E-MOBILITY PVT LTD,JAN,18,2025
GOYAL AGRO INDUSTRIES,JAN,0,2025
G.R. AGRO INDUSTRIES,JAN,0,2025
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,JAN,0,2025
GRANT AGRO INDUSTRIES,JAN,0,2025
GRD MOTORS,JAN,359,2025
GREAVES ELECTRIC MOBILITY PVT LTD,JAN,3613,2025
GREEN EVOLVE PVT LTD,JAN,20,2025
GREENFIT INDUSTRIES LLP,JAN,51,2025
GREEN IMPEX,JAN,79,2025
GREEN SHUTTLE TECHNOLOGY PVT LTD,JAN,3,2025
GREEN STAR MOTORS,JAN,9,2025
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,JAN,2,2025
GREEN TECHNOLOGIES,JAN,98,2025
GREEN VALLEY MOTORS,JAN,1,2025
GREENWHEELS AUTOMOBILE PVT LTD,JAN,60,2025
GREEN WORLD MOTORS PVT LTD,JAN,1,2025
GRINDIA G MOTORS PVT LTD,JAN,0,2025
GROMAX AGRI EQUIPMENT LTD,JAN,397,2025
GROVE INDIA PVT LTD,JAN,1,2025
GSP POWER PROJECTS,JAN,0,2025
GTP ELECTRIC VEHICLES PVT LTD,JAN,4,2025
G.T TRADER,JAN,11,2025
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),JAN,8,2025
GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),JAN,2,2025
GUJARAT NARMADA AUTO LTD,JAN,0,2025
GURDEEP AGRO  INDUSTRIES,JAN,0,2025
GURDEEP ENGINEERING WORKS,JAN,1,2025
GURM AGRICULTURE WORKS,JAN,2,2025
GURMUKH AGRO INDUSTRIES,JAN,2,2025
GURU JI WHEELS,JAN,0,2025
GURUKRAPA ENGINEERING WORKS,JAN,0,2025
GURUKRUPA WELDING WORKS,JAN,0,2025
GURUMAN ENTERPRISES BHWPATNA,JAN,0,2025
GURU NANAK AGRICULTURE IMPLEMENTS,JAN,0,2025
GURU NANAK AGRI ENGG WORKS,JAN,48,2025
GURU NANAK AGRI WORKS,JAN,4,2025
GURU NANAK AGRO INDUSTRIES,JAN,3,2025
GURU NANAK GROUP OF INDUSTRIES,JAN,0,2025
HAITEK AUTOMOTIVE PVT LTD,JAN,32,2025
HAMM AG,JAN,5,2025
HANUMAN UDYOG,JAN,9,2025
HARDEV AGRO TECH,JAN,0,2025
HARJEET AGRO INDUSTRIES,JAN,8,2025
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),JAN,26,2025
HARMEET AGRICULTURE WORKS,JAN,2,2025
HARNISHA AUTO PVT LTD,JAN,0,2025
HARSH TRADING CO,JAN,18,2025
